place_idx,place_name,place_county,place_po_start,place_po_end,gnis_idx,gnis_id,gnis_name,gnis_county,gnis_feature_class,confidence,match_strategy,notes
162,Ammonia,Shelby,,1859.0,29507.0,1275857.0,Armona,Blount,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 76.92307692307692), different county"
162,Ammonia,Shelby,,1859.0,33948.0,1294158.0,Mona,Rutherford,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 72.72727272727273), different county"
162,Ammonia,Shelby,,1859.0,33118.0,1290442.0,Laconia,Fayette,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 71.42857142857143), different county"
163,Amnicola,Hamilton,,,32188.0,1315457.0,Manila,McMinn,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 71.42857142857143), different county"
164,Amo,Overton,,1904.0,330.0,1310508.0,Ambro (historical),Grainger,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 75.0), different county"
164,Amo,Overton,,1904.0,27724.0,1304782.0,Alamo,Crockett,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 75.0), different county"
164,Amo,Overton,,1904.0,27818.0,1314928.0,Damon,Hardin,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 75.0), different county"
166,Ample,Roane,,1904.0,1460.0,1310539.0,Maples (historical),Grainger,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 72.72727272727273), different county"
166,Ample,Roane,,1904.0,31352.0,1315462.0,Maples,Anderson,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 72.72727272727273), different county"
166,Ample,Roane,,1904.0,32084.0,1315182.0,Hamble,Dickson,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 72.72727272727273), different county"
177,Anderson Cross Roads,Morgan,1833.0,1836.0,33843.0,1314618.0,Bakers Crossroads,White,Populated Place,71.08108108108108,FUZZY_GENERAL,"Fuzzy match (score: 81.08108108108108), different county"
189,Angle(town),Sumner,1893.0,,33040.0,1314780.0,Cagle,Sequatchie,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 80.0), different county"
189,Angle(town),Sumner,1893.0,,33494.0,1640255.0,Range,Carter,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 80.0), different county"
190,Angleton,Washington,,1886.0,29136.0,1304841.0,Angeltown,Sumner,Populated Place,72.35294117647058,FUZZY_GENERAL,"Fuzzy match (score: 82.35294117647058), different county"
190,Angleton,Washington,,1886.0,32048.0,1314298.0,Singleton,Bedford,Populated Place,72.35294117647058,FUZZY_GENERAL,"Fuzzy match (score: 82.35294117647058), different county"
190,Angleton,Washington,,1886.0,34014.0,1303636.0,Singleton,Blount,Populated Place,72.35294117647058,FUZZY_GENERAL,"Fuzzy match (score: 82.35294117647058), different county"
196,Annsville,Madison,,,947.0,1311768.0,Carnsville (historical),Carroll,Populated Place,74.21052631578947,FUZZY_GENERAL,"Fuzzy match (score: 84.21052631578947), different county"
196,Annsville,Madison,,,33600.0,1283916.0,Evansville,Dyer,Populated Place,74.21052631578947,FUZZY_GENERAL,"Fuzzy match (score: 84.21052631578947), different county"
196,Annsville,Madison,,,33820.0,1279296.0,Cainsville,Wilson,Populated Place,74.21052631578947,FUZZY_GENERAL,"Fuzzy match (score: 84.21052631578947), different county"
198,Anthem,Overton,,1905.0,1780.0,1307730.0,Panther (historical),Anderson,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 76.92307692307692), different county"
198,Anthem,Overton,,1905.0,23962.0,1272428.0,The Pan,Marion,Area,70.0,FUZZY_GENERAL,"Fuzzy match (score: 76.92307692307692), different county"
198,Anthem,Overton,,1905.0,32632.0,1282036.0,Dante,Knox,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 72.72727272727273), different county"
217,Antoinette,Giles,1898.0,1905.0,27644.0,1289318.0,Jeannette,Decatur,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 73.6842105263158), different county"
231,Ballards,Sevier,,1901.0,31584.0,1269300.0,Allardt,Fentress,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 80.0), different county"
231,Ballards,Sevier,,1901.0,2351.0,1276244.0,Ballard Slough,Tipton,Lake,70.0,FUZZY_GENERAL,"Fuzzy match (score: 72.72727272727273), different county"
231,Ballards,Sevier,,1901.0,729.0,1645146.0,Dallas (historical),Hamilton,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 71.42857142857143), different county"
