place_idx,place_name,place_county,place_po_start,place_po_end,gnis_idx,gnis_id,gnis_name,gnis_county,gnis_feature_class,confidence,match_strategy,notes
138,Alton Hill,Macon,,1904.0,18613.0,1286660.0,Hamilton Hill,Sullivan,Summit,76.95652173913044,FUZZY_GENERAL,"Fuzzy match (score: 86.95652173913044), different county"
139,Alton Hill,Shelby,,1893.0,18613.0,1286660.0,Hamilton Hill,Sullivan,Summit,76.95652173913044,FUZZY_GENERAL,"Fuzzy match (score: 86.95652173913044), different county"
143,Alum Springs,Hawkins,,1869.0,4776.0,1642820.0,Ball Spring,Hawkins,Spring,78.26086956521739,FUZZY_WITH_COUNTY,Fuzzy match in same county (score: 78.26086956521739)
157,Ammis,Meigs,1894.0,1900.0,30569.0,1314581.0,Amis,Hawkins,Populated Place,78.88888888888889,FUZZY_GENERAL,"Fuzzy match (score: 88.88888888888889), different county"
159,Amish,Lawrence,,,30569.0,1314581.0,Amis,Hawkins,Populated Place,78.88888888888889,FUZZY_GENERAL,"Fuzzy match (score: 88.88888888888889), different county"
161,Amity Hill,Hardeman,,1867.0,32325.0,1643496.0,Amity,Cannon,Populated Place,80.0,NAME_VARIATION,Name variation: amity
178,Andersons,Wilson,,1834.0,29482.0,1314584.0,Anderson,Sullivan,Populated Place,84.11764705882352,FUZZY_GENERAL,"Fuzzy match (score: 94.11764705882352), different county"
178,Andersons,Wilson,,1834.0,30643.0,1275675.0,Anderson,Coffee,Populated Place,84.11764705882352,FUZZY_GENERAL,"Fuzzy match (score: 94.11764705882352), different county"
178,Andersons,Wilson,,1834.0,30773.0,1314583.0,Anderson,Franklin,Populated Place,84.11764705882352,FUZZY_GENERAL,"Fuzzy match (score: 94.11764705882352), different county"
179,Andersons Store,McNairy,,1866.0,4682.0,1642040.0,Andersons Spring,Carter,Spring,75.0,FIRST_WORD,"First word match, different county"
179,Andersons Store,McNairy,,1866.0,4829.0,1643065.0,Andersons Shoals,Cocke,Bar,75.0,FIRST_WORD,"First word match, different county"
179,Andersons Store,McNairy,,1866.0,4830.0,1643065.0,Andersons Shoals,Hamblen,Bar,75.0,FIRST_WORD,"First word match, different county"
181,Andrew(s) Chapel,Madison,,1903.0,25421.0,1023781.0,Andrew Johnson Mountain,Madison,Summit,80.0,FIRST_WORD,"First word match with suffix 'mountain', same county"
182,Andrews,Maury,,1902.0,2335.0,1275749.0,Andrews Spring,Marshall,Spring,80.0,NAME_VARIATION,Name variation: andrews spring
182,Andrews,Maury,,1902.0,16265.0,1304840.0,Andrews Creek,Cannon,Stream,80.0,NAME_VARIATION,Name variation: andrews creek
182,Andrews,Maury,,1902.0,16266.0,1304840.0,Andrews Creek,Rutherford,Stream,80.0,NAME_VARIATION,Name variation: andrews creek
183,Andrews Chapel,Madison,1849.0,1903.0,16265.0,1304840.0,Andrews Creek,Cannon,Stream,75.0,FIRST_WORD,"First word match, different county"
183,Andrews Chapel,Madison,1849.0,1903.0,16266.0,1304840.0,Andrews Creek,Rutherford,Stream,75.0,FIRST_WORD,"First word match, different county"
183,Andrews Chapel,Madison,1849.0,1903.0,26790.0,1275747.0,Andrews Hollow,Stewart,Valley,75.0,FIRST_WORD,"First word match, different county"
