gaz_id,gaz_name,gaz_featureclass,fcode,state_alpha,county_name,LayerID,GlobalID,JoinID
1302560,Sampson-Wood Lake,Reservoir,39004,TN,Washington,7,{94a64c82-1c40-410a-b3d9-79ca82b6a90f},4067
1302564,Farmer Pond,Reservoir,39004,TN,Henry,7,{ab6a667c-0346-4dd7-9dde-82bf71b02d0d},4068
1302566,Robertson Lake,Reservoir,39004,TN,Henry,7,{8670be17-e9b1-4b95-9333-bfd96e57acbe},4069
1302568,W H Swain Lake,Reservoir,39004,TN,Scott,7,{30b18da7-198f-4826-9e13-5873c324037e},4070
1302571,Kelly Lake,Reservoir,39004,TN,Trousdale,7,{5f759a00-cb09-4b09-b94e-68d740febaea},4071
1302572,Jolly Lake,Reservoir,39004,TN,Overton,7,{4cd20483-5401-4706-887e-5e3a62518707},4072
1302574,Cypress Creek Watershed Lake One,Reservoir,43600,TN,Weakley,7,{92994c7a-3402-4458-956a-310f3e9ff02c},4073
1302577,Greenbrier Recreation Club Lake,Reservoir,43600,TN,Robertson,7,{40b37608-9354-485a-9299-8847d9c37978},4074
1302578,Burem Lake,Reservoir,39004,TN,Hawkins,7,{c6a40347-ad54-446a-85e4-942fee756740},4075
1302581,Paradise Lake,Reservoir,43600,TN,Marshall,7,{8058caf0-2757-403d-b3b5-4c3913dffb6a},4076
1302582,Old Jamestown Reservoir,Reservoir,39004,TN,Fentress,7,{bd5be5d1-d1b1-4728-ba39-5134b536b212},4077
1302584,Jamestown Reservoir,Reservoir,39004,TN,Fentress,7,{fcb316e7-9a62-4600-9f09-fa1a0993ba8a},4078
1302586,Doakes Pond,Reservoir,39009,TN,Campbell,7,{6f52d51f-965d-4ec2-b429-7be0a607e78e},4079
1302588,Pool Fourteen,Reservoir,39009,TN,Stewart,7,{525cc404-2d82-4a59-b638-e7e0e01d48e2},4080
1302590,Jennings Creek Lake Number Eighteen,Reservoir,39009,TN,Jackson,7,{080b8d44-f1c4-46c0-8363-023f94d71832},4081
1302592,Houser Creek Dam,Reservoir,39004,TN,Obion,7,{0828450b-e627-4ce5-99c1-a8efb861d122},4082
1302594,Womack Lake,Reservoir,39004,TN,Sumner,7,{44e2b0c0-7880-4f1d-8ef2-85b90dc8c7ea},4083
1302597,Mockingbird Hills Lake,Reservoir,39004,TN,Obion,7,{59601b84-3342-4997-950d-ffbb790d73a6},4084
