place_idx,place_name,place_county,place_po_start,place_po_end,gnis_idx,gnis_id,gnis_name,gnis_county,gnis_feature_class,confidence,match_strategy,notes,Place_Name,County,place_lat,place_lon,gaz_id,gnis_lat,gnis_lon,distance_miles
79,Alex,Davidson,,1890.0,6844.0,1275541.0,Alex Branch,Sequatchie,Stream,80.0,NAME_VARIATION,Name variation: alex branch,Alex,Davidson,36.1667,-86.7844,1275541,35.4045,-85.3872,94.37647499028888
79,Alex,Davidson,,1890.0,10223.0,1275542.0,Alex Branch,Morgan,Stream,80.0,NAME_VARIATION,Name variation: alex branch,Alex,Davidson,36.1667,-86.7844,1275542,36.1145,-84.6472,119.31062755952512
90,Alisonia,Franklin,1850.0,1851.0,29123.0,1304808.0,Allisona,Williamson,Populated Place,77.5,FUZZY_GENERAL,"Fuzzy match (score: 87.5), different county",Alisonia,Franklin,35.1545,-86.0972,1304808,35.8745,-86.8672,65.95862102040488
90,Alisonia,Franklin,1850.0,1851.0,29123.0,1304808.0,Allisona,Williamson,Populated Place,77.5,FUZZY_GENERAL,"Fuzzy match (score: 87.5), different county",Alisonia,Franklin,35.1545,-86.0972,1304808,35.8445,-86.3972,50.57591320131632
90,Alisonia,Franklin,1850.0,1851.0,29124.0,1304808.0,Allisona,Rutherford,Populated Place,77.5,FUZZY_GENERAL,"Fuzzy match (score: 87.5), different county",Alisonia,Franklin,35.1545,-86.0972,1304808,35.8745,-86.8672,65.95862102040488
90,Alisonia,Franklin,1850.0,1851.0,29124.0,1304808.0,Allisona,Rutherford,Populated Place,77.5,FUZZY_GENERAL,"Fuzzy match (score: 87.5), different county",Alisonia,Franklin,35.1545,-86.0972,1304808,35.8445,-86.3972,50.57591320131632
97,Allendale,Claiborne,,,32911.0,1283661.0,Ellendale,Shelby,Populated Place,78.88888888888889,FUZZY_GENERAL,"Fuzzy match (score: 88.88888888888889), different county",Allendale,Claiborne,36.4945,-83.6972,1283661,35.1345,-89.9372,361.9724644185303
97,Allendale,Claiborne,,,33115.0,1308407.0,Allandale,Hawkins,Populated Place,78.88888888888889,FUZZY_GENERAL,"Fuzzy match (score: 88.88888888888889), different county",Allendale,Claiborne,36.4945,-83.6972,1308407,36.4345,-82.9472,41.883103661137326
102,Allens Creek,Sullivan,,1920.0,982.0,1649942.0,Allens Creek (historical),Lewis,Populated Place,90.0,FUZZY_GENERAL,"Fuzzy match (score: 100.0), different county",Allens Creek,Sullivan,36.5145,-82.2872,1649942,35.4845,-87.4972,299.77286257809686
102,Allens Creek,Sullivan,,1920.0,6423.0,1275609.0,Allens Creek,Lewis,Stream,90.0,FUZZY_GENERAL,"Fuzzy match (score: 100.0), different county",Allens Creek,Sullivan,36.5145,-82.2872,1275609,35.4845,-87.4972,299.77286257809686
102,Allens Creek,Sullivan,,1920.0,6423.0,1275609.0,Allens Creek,Lewis,Stream,90.0,FUZZY_GENERAL,"Fuzzy match (score: 100.0), different county",Allens Creek,Sullivan,36.5145,-82.2872,1275609,35.3145,-87.7472,316.5491542409283
102,Allens Creek,Sullivan,,1920.0,6424.0,1275609.0,Allens Creek,Wayne,Stream,90.0,FUZZY_GENERAL,"Fuzzy match (score: 100.0), different county",Allens Creek,Sullivan,36.5145,-82.2872,1275609,35.4845,-87.4972,299.77286257809686
102,Allens Creek,Sullivan,,1920.0,6424.0,1275609.0,Allens Creek,Wayne,Stream,90.0,FUZZY_GENERAL,"Fuzzy match (score: 100.0), different county",Allens Creek,Sullivan,36.5145,-82.2872,1275609,35.3145,-87.7472,316.5491542409283
109,Allentown,Carter,,,27604.0,1639803.0,Haletown,Marion,Populated Place,72.35294117647058,FUZZY_GENERAL,"Fuzzy match (score: 82.35294117647058), different county",Allentown,Carter,36.2989,-82.154,1639803,35.1145,-85.6472,212.37967822738446
109,Allentown,Carter,,,27604.0,1639803.0,Haletown,Marion,Populated Place,72.35294117647058,FUZZY_GENERAL,"Fuzzy match (score: 82.35294117647058), different county",Allentown,Carter,36.2989,-82.154,1639803,35.1145,-85.6472,212.37967822738446
109,Allentown,Carter,,,30173.0,1647797.0,Balltown,McMinn,Populated Place,72.35294117647058,FUZZY_GENERAL,"Fuzzy match (score: 82.35294117647058), different county",Allentown,Carter,36.2989,-82.154,1647797,35.4345,-84.5872,148.7586147189713
109,Allentown,Carter,,,30173.0,1647797.0,Balltown,McMinn,Populated Place,72.35294117647058,FUZZY_GENERAL,"Fuzzy match (score: 82.35294117647058), different county",Allentown,Carter,36.2989,-82.154,1647797,35.4345,-84.5872,148.7586147189713
109,Allentown,Carter,,,30970.0,1315181.0,Halltown,Trousdale,Populated Place,72.35294117647058,FUZZY_GENERAL,"Fuzzy match (score: 82.35294117647058), different county",Allentown,Carter,36.2989,-82.154,1315181,36.3845,-86.1472,222.31601173416783
109,Allentown,Carter,,,30970.0,1315181.0,Halltown,Trousdale,Populated Place,72.35294117647058,FUZZY_GENERAL,"Fuzzy match (score: 82.35294117647058), different county",Allentown,Carter,36.2989,-82.154,1315181,36.3845,-86.1472,222.31601173416783
116,Allington,Roane,,,27898.0,1275854.0,Arlington,Knox,Populated Place,78.88888888888889,FUZZY_GENERAL,"Fuzzy match (score: 88.88888888888889), different county",Allington,Roane,35.8645,-84.5372,1275854,36.0045,-83.9372,34.93450313770465
116,Allington,Roane,,,29343.0,1304869.0,Arlington,Shelby,Populated Place,78.88888888888889,FUZZY_GENERAL,"Fuzzy match (score: 88.88888888888889), different county",Allington,Roane,35.8645,-84.5372,1304869,35.1345,-89.9372,307.887218246981
116,Allington,Roane,,,32063.0,1309075.0,Arlington,Houston,Populated Place,78.88888888888889,FUZZY_GENERAL,"Fuzzy match (score: 88.88888888888889), different county",Allington,Roane,35.8645,-84.5372,1309075,36.2945,-87.6972,178.94438955345376
124,Almira,Tipton,,1903.0,29617.0,1311537.0,Palmyra,Montgomery,Populated Place,70.0,FUZZY_GENERAL,"Fuzzy match (score: 76.92307692307692), different county",Almira,Tipton,35.4945,-89.7972,1311537,36.4945,-87.3472,153.4024090776221
